Target,slope_all,p_value_all,ci_width_all,slope_before,p_value_before,ci_width_before,slope_after,p_value_after,ci_width_after,num_years_all,num_years_before,num_years_after
SHRD,-0.0901741398129154,0.0035409451971885,0.058180942896987,-0.0509569026737232,0.0469068668283661,0.050213495872146,-0.1006041046676036,0.0140221684485628,0.078748226649778,32,32,32
D200,-7.552375174627993e-09,0.5563923322994548,2.5928453839565506e-08,-4.359292925993842e-09,0.7701163604216479,3.0191445580210854e-08,-1.4803327843800053e-08,0.3267689093825687,3.0325322404553655e-08,32,32,32
TPW,-0.2361409996933717,0.0010441451457369,0.13285991481025,-0.021896851197637,0.4890210259106137,0.0638403958669392,-0.359712828202224,0.0004979820535305,0.1882163997752008,32,32,32
PC2,3.1206257504676573,8.910806180384893e-08,0.7997176446208827,2.9133259561087064,2.723346323113111e-05,1.1241590510620894,3.004237660708564,4.189200415694444e-06,1.0024715719851238,22,22,22
SDBT,0.1789359994012687,4.2108042485968e-07,0.0507856766135542,0.2134017660580154,1.7882515682810906e-05,0.0795945587977877,0.1430817304570141,0.0001077984126276,0.0621174856556507,22,22,22
POT,-0.3152464525663718,0.0313812630691193,0.2851317212522095,-0.0995224262530761,0.4214574687174209,0.2493681679657929,-0.3333142893873976,0.090132730516544,0.3887171030014901,32,32,32
CFLX,0.3797350076008438,0.6022096862525085,1.472151554025542,0.4264978810317992,0.4366770711488219,1.1048695962898365,0.6460971828512757,0.5194662810396512,2.024273804343156,32,32,32
VMPI,0.3440577124280457,0.0007763201268804947,0.187883447336038,0.10675201831807513,0.2429564072073716,0.18303937288648853,0.3993831639855303,0.0015749086908988877,0.23466854241681023,32,32,32
