year,ID,start_V,end_V,LMI,duration_before_LMI,duration_after_LMI,intensity_range_1,intensity_range_2,total_intensity_range,start_P,end_P,LMP,type,start_lat,LMI_lat,end_lat
1997,WP021997,35.0,45.0,145.0,187.5,88.5,110.0,100.0,210.0,1002.0,995.0,940.0,long,7.5,16.6,30.4
1998,WP021998,35.0,25.0,50.0,19.5,31.5,15.0,25.0,40.0,1004.0,1002.0,998.0,short,22.4,23.1,23.2
1999,WP021999,35.0,15.0,35.0,1.5,49.5,0.0,20.0,20.0,1002.0,1004.0,1002.0,short,11.8,11.8,15.2
2000,WP022000,35.0,28.0,40.0,13.5,16.5,5.0,12.0,17.0,998.0,995.0,990.0,short,21.1,23.3,27.3
2002,WP022002,35.0,20.0,140.0,145.5,91.5,105.0,120.0,225.0,1002.0,1012.0,930.0,long,6.5,13.7,15.4
2003,WP022003,35.0,30.0,135.0,163.5,229.5,100.0,105.0,205.0,1006.0,1000.0,930.0,long,4.2,13.1,34.2
2004,WP022004,35.0,20.0,35.0,1.5,115.5,0.0,15.0,15.0,1000.0,1004.0,998.0,medium,10.5,10.5,17.9
2005,WP022005,35.0,21.0,80.0,43.5,58.5,45.0,59.0,104.0,1000.0,1008.0,980.0,medium,10.3,11.9,11.8
2006,WP022006,35.0,60.0,125.0,145.5,70.5,90.0,65.0,155.0,1006.0,984.0,930.0,long,8.2,14.1,24.0
2007,WP022007,35.0,39.0,130.0,79.5,58.5,95.0,91.0,186.0,1006.0,991.0,935.0,medium,9.2,19.8,30.5
2008,WP022008,35.0,35.0,100.0,85.5,49.5,65.0,65.0,130.0,1004.0,1004.0,960.0,medium,9.0,17.1,24.1
2009,WP022009,35.0,23.0,90.0,85.5,94.5,55.0,67.0,122.0,998.0,1006.0,975.0,medium,10.2,15.8,21.6
2010,WP022010,35.0,30.0,50.0,49.5,49.5,15.0,20.0,35.0,1004.0,1000.0,998.0,short,8.9,14.1,18.7
2012,WP022012,35.0,19.0,60.0,19.5,76.5,25.0,41.0,66.0,1006.0,1007.0,998.0,short,9.6,9.7,12.0
2014,WP022014,35.0,24.0,35.0,1.5,28.5,0.0,11.0,11.0,1000.0,1006.0,1000.0,short,10.0,10.0,11.2
2015,WP022015,35.0,25.0,130.0,61.5,55.5,95.0,105.0,200.0,1000.0,1008.0,940.0,medium,11.6,14.2,18.2
2016,WP022016,35.0,25.0,155.0,67.5,91.5,120.0,130.0,250.0,1000.0,998.0,900.0,medium,10.1,19.5,26.4
2018,WP022018,35.0,23.0,40.0,13.5,82.5,5.0,17.0,22.0,1002.0,1009.0,1000.0,short,6.6,7.0,7.7
2019,WP022019,35.0,25.0,140.0,94.5,163.5,105.0,115.0,220.0,1002.0,1008.0,920.0,long,4.6,12.0,18.9
2020,WP022020,35.0,23.0,35.0,1.5,28.5,0.0,12.0,12.0,996.0,1002.0,996.0,short,19.4,19.4,22.6
2021,WP022021,35.0,58.0,170.0,85.5,148.5,135.0,112.0,247.0,1000.0,983.0,895.0,long,8.2,12.0,23.4
2022,WP022022,35.0,48.0,105.0,151.5,40.5,70.0,57.0,127.0,1004.0,970.0,945.0,medium,4.1,19.7,29.1
2023,WP022023,35.0,35.0,165.0,133.5,190.5,130.0,130.0,260.0,1000.0,982.0,900.0,long,6.0,15.1,30.1
1982,WP031982,35.0,45.0,75.0,115.5,22.5,40.0,30.0,70.0,1000.0,1003.0,965.0,medium,6.6,13.3,13.1
1983,WP031983,35.0,29.0,90.0,109.5,49.5,55.0,61.0,116.0,1000.0,996.0,965.0,medium,11.3,19.0,22.0
1984,WP031984,35.0,43.0,75.0,43.5,34.5,40.0,32.0,72.0,1000.0,1002.0,960.0,short,16.6,23.3,31.9
1985,WP031985,35.0,63.0,100.0,79.5,40.5,65.0,37.0,102.0,998.0,983.0,950.0,medium,13.1,21.5,29.8
1986,WP031986,40.0,38.0,150.0,73.5,88.5,110.0,112.0,222.0,992.0,983.0,910.0,medium,7.5,12.4,36.9
1987,WP031987,35.0,23.0,35.0,1.5,37.5,0.0,12.0,12.0,992.0,1000.0,992.0,short,20.8,20.8,24.5
