year,ID,start_V,end_V,LMI,duration_before_LMI,duration_after_LMI,intensity_range_1,intensity_range_2,total_intensity_range,start_P,end_P,LMP,type,start_lat,LMI_lat,end_lat
1984,EP021984,35.0,25.0,65.0,37.5,445.5,30.0,40.0,70.0,,,,long,11.7,13.4,20.3
1985,EP021985,35.0,25.0,105.0,163.5,67.5,70.0,80.0,150.0,,,,long,10.6,16.5,17.2
1986,EP021986,35.0,25.0,35.0,1.5,25.5,0.0,10.0,10.0,,,,short,9.0,9.0,10.5
1987,EP021987,35.0,20.0,45.0,31.5,37.5,10.0,25.0,35.0,,,,short,13.8,16.5,20.5
1988,EP021988,35.0,30.0,45.0,19.5,13.5,10.0,15.0,25.0,1004.0,1005.0,1000.0,short,14.0,15.1,16.0
1989,EP021989,35.0,20.0,70.0,37.5,67.5,35.0,50.0,85.0,1005.0,1011.0,984.0,medium,14.0,16.2,17.7
1990,EP021990,35.0,20.0,80.0,37.5,73.5,45.0,60.0,105.0,1005.0,1010.0,977.0,medium,13.1,16.7,24.4
1991,EP021991,35.0,25.0,55.0,73.5,49.5,20.0,30.0,50.0,1005.0,1009.0,994.0,medium,12.3,12.6,14.5
1993,EP021993,35.0,30.0,55.0,31.5,7.5,20.0,25.0,45.0,1005.0,1004.0,995.0,short,13.6,15.9,17.0
1994,EP021994,35.0,20.0,40.0,7.5,43.5,5.0,20.0,25.0,1006.0,1010.0,1003.0,short,15.9,16.0,18.4
1995,EP021995,35.0,20.0,115.0,55.5,73.5,80.0,95.0,175.0,1005.0,1006.0,948.0,medium,12.5,17.1,18.4
1997,EP021997,35.0,25.0,40.0,7.5,49.5,5.0,15.0,20.0,1005.0,1008.0,1002.0,short,14.6,14.8,16.6
1999,EP021999,35.0,25.0,105.0,85.5,97.5,70.0,80.0,150.0,1005.0,1007.0,955.0,medium,13.1,14.5,19.8
2000,EP022000,35.0,25.0,45.0,13.5,85.5,10.0,20.0,30.0,1000.0,1002.0,994.0,short,13.9,14.9,20.2
